,donor,cc_normed,score
30007532136_SEACell-7,30007532136_SEACell,0.8808914671907349,0.10161060912664256
30007532136_SEACell-8,30007532136_SEACell,0.8948274065104722,0.1062276715981727
30007532136_SEACell-6,30007532136_SEACell,0.941008140103686,0.0832262764148758
30007532136_SEACell-3,30007532136_SEACell,0.6327543492116595,0.09163148301590877
30007532136_SEACell-4,30007532136_SEACell,0.7655731390357976,0.12144722343452012
30007532136_SEACell-9,30007532136_SEACell,0.6031496398173702,0.0786809089602344
30007532136_SEACell-2,30007532136_SEACell,0.7622651055520768,0.08877932185641536
30007532136_SEACell-10,30007532136_SEACell,0.7205767051263311,0.09844892176186167
30007532136_SEACell-5,30007532136_SEACell,0.7803627235405881,0.10196875771165431
30007532136_SEACell-0,30007532136_SEACell,1.1460449854331118,0.08827281148873187
30007532136_SEACell-1,30007532136_SEACell,0.8805410885009078,0.08339915445384262
30007495325_SEACell-6,30007495325_SEACell,0.8741920319850451,0.09592738051420978
30007495325_SEACell-2,30007495325_SEACell,0.8375789813628701,0.10496727016101166
30007495325_SEACell-12,30007495325_SEACell,0.8747060633637133,0.08961776418734829
30007495325_SEACell-8,30007495325_SEACell,0.7511226765350125,0.08293215248206144
30007495325_SEACell-11,30007495325_SEACell,0.8123275423983114,0.0867110072307333
30007495325_SEACell-0,30007495325_SEACell,0.8668644104681498,0.09938500183035189
30007495325_SEACell-3,30007495325_SEACell,1.1621891682947254,0.07681647482111006
30007495325_SEACell-10,30007495325_SEACell,0.9728338168183917,0.07294069018424351
30007495325_SEACell-4,30007495325_SEACell,1.1095244539492504,0.07558088853872597
30007495325_SEACell-5,30007495325_SEACell,0.9255997116415262,0.09483545535548898
30007495325_SEACell-9,30007495325_SEACell,0.7742070037375575,0.08495106686999708
30007495325_SEACell-1,30007495325_SEACell,0.8003535721801114,0.06794072355136416
30007495325_SEACell-7,30007495325_SEACell,0.9738637272261368,0.0835886211269478
30007495325_SEACell-13,30007495325_SEACell,0.7897045020895362,0.07839738094905253
30007528696_SEACell-3,30007528696_SEACell,0.7832536445164134,0.09884833632271216
30007528696_SEACell-12,30007528696_SEACell,0.7629468973035916,0.10426173357592694
30007528696_SEACell-0,30007528696_SEACell,0.6001362719028075,0.07882398231783476
30007528696_SEACell-7,30007528696_SEACell,0.8077262470235131,0.08721409468130205
30007528696_SEACell-5,30007528696_SEACell,0.7607194417076568,0.09172209383592074
30007528696_SEACell-10,30007528696_SEACell,0.8737652729444603,0.09237522703059167
